Exercise;Arm;Session Time;Tries;Correct Repetitions;Average Time per Repetition;Rest count;Left Shoulder Up;Right Shoulder Up;Leaned Left;Leaned Right
Free Draw;Right;00:17;1;0;00:00;0;0;1;1;1
Free Draw;Right;00:42;0;0;00:00;0;0;0;0;0
Free Draw;Right;00:56;0;0;00:00;0;0;0;0;0
Free Draw;Right;01:51;0;0;00:00;1;0;0;0;0
Free Draw;Right;02:19;2;0;00:00;2;9;13;10;10
Free Draw;Right;00:34;5;0;00:00;0;0;0;4;4
Free Draw;Right;00:58;0;0;00:00;0;0;0;1;1
Free Draw;Left;00:32;1;0;00:00;0;1;0;0;0
Free Draw;Left;00:47;4;0;00:00;0;0;0;1;1
Free Draw;Left;00:11;2;0;00:00;0;0;0;0;0
